ID,cluster_kmeans_features,cluster_hierarchical,cluster_kmeans_ts,cluster_dbscan
8763,1,1,0,0
8770,2,0,1,0
8793,2,0,0,0
8822,0,0,1,0
8832,1,1,0,0
8849,2,0,1,0
8877,2,0,1,0
8886,2,0,1,0
8891,2,0,0,0
8896,2,0,0,0
8919,2,1,0,0
8922,1,1,0,0
8937,2,0,1,0
8972,1,1,0,0
9002,2,0,0,0
9031,1,1,1,0
9067,2,0,0,0
9078,1,1,0,0
9121,2,0,1,0
9135,2,0,0,0
9153,2,0,1,0
9154,2,0,1,0
9160,2,0,1,0
9164,2,0,1,0
9165,1,1,0,0
9196,2,0,1,0
9204,2,0,0,0
9241,1,1,0,0
9289,2,0,1,0
9305,2,0,1,0
9328,2,0,1,0
9342,1,1,0,0
9368,2,0,0,0
9401,2,0,1,0
9403,2,0,1,0
9409,2,0,1,0
9453,2,0,0,0
9461,2,1,0,0
9465,2,0,0,0
9510,2,0,1,0
9524,2,0,1,0
9564,2,1,0,0
9678,2,0,0,0
9706,2,0,1,0
9730,2,0,1,0
9736,1,1,0,0
9752,2,0,1,0
9797,2,0,1,0
9810,2,0,1,0
9845,2,0,1,0
9859,2,0,1,0
9946,2,0,1,0
9965,1,0,0,0
10001,2,0,1,0
10012,2,1,1,0
10030,2,0,1,0
10041,2,0,0,0
10042,1,1,0,0
10047,1,1,0,0
10053,1,1,0,0
10061,2,0,1,0
10081,2,0,1,0
10108,2,0,1,0
10111,2,0,1,0
10115,2,0,1,0
10152,2,0,1,0
10161,2,0,0,0
10177,2,0,0,0
10178,2,0,1,0
10180,2,1,1,0
10190,2,0,0,0
10204,2,0,1,0
10216,2,0,1,0
10241,2,0,1,0
10257,2,0,1,0
10268,2,0,0,0
10290,2,0,1,0
10293,2,0,1,0
10349,2,0,0,0
10426,2,0,0,0
10441,2,0,0,0
10447,1,1,0,0
10452,2,0,1,0
10498,2,0,1,0
10500,2,0,0,0
10521,2,0,1,0
10538,2,0,1,0
10541,2,0,1,0
10554,2,0,1,0
10569,2,0,1,0
10597,2,0,1,0
10613,2,0,1,0
10629,1,1,1,0
10634,2,0,1,0
10640,1,1,0,0
10651,2,0,1,0
10664,2,0,0,0
10671,2,0,1,0
10685,2,0,1,0
10687,1,1,1,0
10689,2,0,1,0
10692,2,0,0,0
10698,2,0,1,0
10701,1,1,0,0
10703,2,1,1,0
10712,2,0,0,0
10730,2,0,1,0
10738,1,1,0,0
10741,2,0,1,0
10770,1,1,0,0
10830,2,0,0,0
10838,1,1,0,0
10840,2,0,1,0
10858,1,1,0,0
10873,2,0,1,0
10880,2,0,1,0
10891,2,0,1,0
10908,2,0,1,0
10924,2,0,1,0
10931,1,0,0,0
10938,2,0,1,0
10982,2,0,1,0
10989,2,0,1,0
10990,2,0,0,0
10996,2,0,1,0
10999,2,0,1,0
11024,2,0,1,0
11026,1,0,0,0
11049,2,1,1,0
11053,2,0,1,0
11077,2,0,1,0
11094,2,0,1,0
11098,0,2,0,0
11103,2,0,0,0
11106,2,0,1,0
11109,2,0,1,0
11116,1,1,0,0
11134,2,0,1,0
11144,2,0,1,0
11174,2,0,1,0
11195,2,0,1,0
11215,2,0,1,0
11217,2,1,1,0
11231,2,0,1,0
11245,2,0,1,0
11284,2,0,1,0
11290,2,0,1,0
11291,1,1,0,0
11301,2,0,1,0
11315,2,0,0,0
11338,2,0,1,0
11346,2,0,1,0
11350,2,0,1,0
11368,2,0,1,0
11409,1,1,0,0
11424,2,0,1,0
11428,2,0,1,0
11447,2,0,0,0
11472,2,1,1,0
11486,2,0,1,0
11536,2,0,1,0
11575,2,1,0,0
11608,2,0,1,0
11625,2,0,0,0
11628,2,0,1,0
11656,2,1,1,0
11667,2,0,0,0
11694,2,0,0,0
11695,2,1,0,0
11699,2,0,0,0
11700,2,0,1,0
11701,2,0,0,0
11705,2,0,1,0
11714,1,1,0,0
11717,2,0,1,0
11761,2,0,1,0
11772,2,0,1,0
11793,1,1,0,0
11800,2,0,1,0
11817,2,0,1,0
11886,2,0,0,0
11899,1,1,0,0
11923,2,0,0,0
11935,2,0,1,0
11936,2,0,1,0
11983,2,0,1,0
12015,1,1,0,0
12016,1,0,0,0
12070,2,1,1,0
12083,2,0,0,0
12101,2,1,1,0
12128,2,0,1,0
12138,2,0,1,0
12195,2,0,1,0
12207,1,1,0,0
12215,2,0,1,0
12243,2,0,1,0
12303,2,0,0,0
12308,2,0,1,0
12316,2,0,0,0
12321,1,1,0,0
12329,2,0,1,0
12360,1,1,0,0
12362,2,0,0,0
12371,2,0,1,0
12389,2,0,0,0
12406,2,0,1,0
12416,2,0,0,0
12454,2,1,0,0
12491,1,1,0,0
12514,2,0,1,0
12583,2,0,1,0
12591,2,0,1,0
12594,2,0,0,0
12615,0,0,1,0
12619,2,0,1,0
12634,2,0,0,0
12697,2,0,1,0
12702,2,0,1,0
12710,2,1,1,0
12730,2,0,1,0
12750,2,0,0,0
12765,2,1,1,0
12777,2,0,0,0
12778,2,0,1,0
12782,2,0,1,0
12814,2,0,1,0
12817,2,0,1,0
12823,2,0,1,0
12837,2,0,0,0
12842,2,0,1,0
12886,2,0,1,0
12905,2,0,1,0
12927,1,1,0,0
12930,2,0,1,0
12931,2,0,1,0
12936,2,0,1,0
12939,2,0,0,0
12955,2,0,0,0
12978,1,1,0,0
12989,2,0,1,0
12999,2,0,1,0
13013,1,1,0,0
13022,2,0,1,0
13025,2,0,1,0
13071,2,0,0,0
13080,2,0,0,0
13102,1,1,1,0
13109,2,0,1,0
13135,2,0,1,0
13142,2,0,1,0
13152,2,0,1,0
13161,2,0,1,0
13173,2,0,1,0
13251,2,0,1,0
13256,2,0,1,0
13271,2,0,1,0
13272,2,0,1,0
13287,2,0,1,0
13299,1,1,0,0
13325,2,0,0,0
13331,2,0,1,0
13334,1,1,0,0
13361,2,0,1,0
13367,2,0,1,0
13401,2,0,1,0
13425,2,0,1,0
13433,2,0,0,0
13440,1,1,0,0
13450,1,1,0,0
13466,2,0,0,0
13473,0,0,1,0
13484,2,0,0,0
13498,2,0,1,0
13510,2,0,1,0
13550,1,1,0,0
13551,2,0,1,0
13593,2,0,0,0
13641,1,1,0,0
13655,2,0,1,0
13680,2,0,0,0
13686,1,1,0,0
13687,2,0,0,0
13695,2,0,0,0
13709,2,0,1,0
13731,1,1,1,0
13734,2,0,1,0
13759,2,1,1,0
13770,2,0,0,0
13786,2,0,0,0
13855,1,1,0,0
13862,2,1,0,0
13879,2,0,0,0
13911,2,0,0,0
13921,2,0,0,0
13930,1,1,0,0
13935,2,0,1,0
13938,2,0,1,0
13952,2,0,1,0
13960,2,0,0,0
14023,2,0,0,0
14054,1,1,0,0
14059,2,0,1,0
14088,2,0,0,0
14153,2,0,0,0
14168,2,0,0,0
14170,2,0,0,0
14177,1,1,0,0
14201,2,0,1,0
14202,2,0,0,0
14212,2,1,0,0
14215,2,0,1,0
14237,0,0,1,0
14279,1,1,0,0
14282,1,1,0,0
14301,2,0,0,0
14323,2,0,1,0
14324,2,0,1,0
14341,2,0,1,0
14351,1,1,1,0
14352,2,0,1,0
14383,2,0,1,0
14384,2,0,0,0
14408,2,0,1,0
14437,2,0,1,0
14440,2,0,1,0
14445,2,0,0,0
14449,2,0,0,0
14457,2,1,0,0
14471,2,0,0,0
14474,1,1,0,0
14479,2,0,1,0
14482,2,0,0,0
14492,2,0,0,0
14498,2,0,1,0
14611,2,0,1,0
14618,0,0,1,0
14645,2,1,0,0
14665,2,0,0,0
14706,2,1,0,0
14708,2,0,1,0
14719,2,1,0,0
14734,2,0,1,0
14740,2,0,1,0
14743,2,0,1,0
14748,2,0,1,0
14751,2,1,1,0
14796,2,0,1,0
14798,2,0,1,0
14853,2,0,0,0
14880,2,0,1,0
14915,2,0,0,0
14917,2,0,0,0
14940,2,0,1,0
14948,2,0,1,0
14951,0,0,1,0
14955,2,0,1,0
14969,2,0,1,0
14970,2,1,1,0
14996,2,0,1,0
15001,2,0,0,0
15015,2,0,0,0
15027,2,0,1,0
15052,2,0,1,0
15071,2,0,1,0
15127,2,0,1,0
15145,0,0,1,0
15154,2,0,1,0
15159,1,1,0,0
15162,2,0,1,0
15202,2,0,0,0
15227,2,0,1,0
15233,2,0,0,0
15251,2,1,0,0
15253,2,0,0,0
15263,1,1,1,0
15299,2,0,1,0
15357,2,0,1,0
15366,2,0,1,0
15405,2,1,0,0
15409,1,1,0,0
15421,2,0,1,0
15451,2,0,1,0
15457,2,0,1,0
15459,2,0,1,0
15478,2,0,1,0
15528,1,0,0,0
15546,2,0,1,0
15551,2,0,1,0
15570,2,0,1,0
15585,2,0,0,0
15601,2,0,1,0
15625,2,0,1,0
15635,2,0,0,0
15655,2,0,1,0
15667,2,0,0,0
15725,2,0,1,0
15731,2,0,0,0
15733,2,0,1,0
15747,1,1,1,0
15749,2,0,1,0
15787,2,0,1,0
15798,2,1,0,0
15819,2,0,1,0
15867,2,0,1,0
15911,2,0,0,0
15923,2,0,1,0
15952,2,0,1,0
15957,1,1,0,0
15966,2,0,1,0
16006,2,0,1,0
16014,2,0,1,0
16017,1,1,0,0
16042,2,0,1,0
16059,2,0,0,0
16089,1,1,1,0
16119,2,0,1,0
16120,2,0,1,0
16159,2,0,1,0
16168,2,1,0,0
16170,1,1,0,0
16173,2,0,1,0
16182,0,0,1,0
16187,1,1,0,0
16212,2,0,1,0
16216,2,0,0,0
16242,2,0,0,0
16274,2,0,1,0
16301,2,0,1,0
16386,2,0,1,0
16396,2,0,1,0
16440,2,0,1,0
16467,2,0,0,0
16470,2,0,0,0
16476,2,0,1,0
16528,2,0,0,0
16535,1,1,1,0
16569,2,1,1,0
16570,1,1,0,0
16630,2,0,1,0
16679,2,1,1,0
16690,2,0,1,0
16708,2,0,1,0
16716,2,0,1,0
16764,2,1,0,0
16775,2,0,1,0
16791,2,0,1,0
16798,2,1,1,0
16817,2,0,1,0
16851,2,0,1,0
16879,2,0,1,0
16917,2,0,1,0
16918,2,0,1,0
16921,2,0,1,0
16957,2,0,0,0
16959,2,0,1,0
16987,2,0,0,0
17008,2,0,1,0
17014,2,0,0,0
17024,2,0,1,0
17035,2,0,0,0
17058,1,1,0,0
17066,1,1,0,0
17072,1,1,1,-1
17074,2,1,0,0
17100,1,1,1,0
17129,2,0,0,0
17137,1,1,0,0
17162,2,0,0,0
17174,2,0,1,0
17221,2,0,0,0
17262,2,0,1,0
17295,2,0,1,0
17299,2,0,1,0
17306,2,0,1,0
17377,2,0,0,0
17384,1,1,0,0
17386,2,0,1,0
17416,2,0,0,0
17430,2,0,1,0
17446,2,0,1,0
17465,2,0,1,0
17474,2,0,0,0
17505,2,0,0,0
17514,2,0,0,0
17570,2,0,1,0
17572,0,1,1,0
17577,2,0,0,0
17601,2,0,1,0
17610,2,0,1,0
17616,2,1,1,0
17678,2,0,1,0
17698,1,1,0,0
17702,2,0,1,0
17706,2,0,1,0
17751,2,0,1,0
17770,1,1,1,0
17807,2,0,1,0
17818,2,1,1,0
17844,2,0,1,0
17854,2,1,1,0
17870,2,0,0,0
17906,2,0,0,0
17916,1,1,0,0
17918,1,1,0,0
17919,2,0,1,0
17953,0,0,1,0
17964,2,0,1,0
17965,2,0,1,0
17975,2,0,1,0
17977,2,0,1,0
17978,2,0,0,0
18048,2,0,0,0
18053,2,0,1,0
18062,2,0,1,0
18099,1,1,0,0
18111,1,1,1,0
18159,2,0,0,0
18203,2,1,0,0
18215,2,0,0,0
18218,0,0,1,0
18220,2,0,0,0
18279,2,0,1,0
18330,1,1,0,0
18353,2,0,1,0
18384,2,0,0,0
18399,2,0,1,0
18408,2,0,0,0
18433,2,0,1,0
18450,2,1,1,0
18468,2,0,1,0
18499,2,0,1,0
18506,1,1,0,0
18514,2,0,0,0
18551,2,0,1,0
18560,2,0,1,0
18562,2,0,1,0
18616,2,0,0,0
18673,2,0,1,0
18732,1,1,0,0
18737,2,0,1,0
18752,2,0,1,0
18762,1,1,0,0
18777,2,1,1,0
18778,1,1,0,0
18785,2,0,1,0
18790,1,1,0,0
18800,2,0,0,0
18804,2,0,1,0
18808,2,1,1,0
18809,2,0,1,0
18810,2,1,0,0
18820,2,0,1,0
18921,2,0,1,0
18922,2,1,1,0
18937,2,0,1,0
18942,2,1,1,0
